CO2pressure,Ts,H2Oppm,Oesc,depv,N2Ar,CO_01G,HOratio_01G,CO_1G,HOratio_1G,fO2,fCO,fH2,fOx,fH2O2,fO3
200,280,17574.6214,1.20E+08,0.02,0,1.25E-06,2.000000002,1.25E-06,1.999999999,3.88E-07,1.25E-06,1.14E-05,-1.19E-05,1.21E-10,3.34E-11
300,280,17574.6214,1.20E+08,0.02,0,1.22E-06,2.000000002,1.22E-06,1.999999998,3.02E-07,1.22E-06,1.16E-05,-1.22E-05,2.18E-10,3.88E-11
400,280,17574.6214,1.20E+08,0.02,0,1.20E-06,1.999999995,1.20E-06,2.000000001,2.46E-07,1.20E-06,1.19E-05,-1.26E-05,2.73E-10,4.24E-11
500,280,17574.6214,1.20E+08,0.02,0,1.20E-06,2.000000003,1.20E-06,1.999999999,2.08E-07,1.20E-06,1.22E-05,-1.30E-05,2.96E-10,4.50E-11
600,280,17574.6214,1.20E+08,0.02,0,1.20E-06,1.999999999,1.20E-06,1.999999992,1.81E-07,1.20E-06,1.25E-05,-1.34E-05,3.06E-10,4.67E-11
700,280,17574.6214,1.20E+08,0.02,0,1.17E-06,2.000000004,1.17E-06,1.999999985,1.60E-07,1.17E-06,1.23E-05,-1.31E-05,3.07E-10,4.75E-11
800,280,17574.6214,1.20E+08,0.02,0,1.18E-06,1.999999991,1.18E-06,1.999999995,1.43E-07,1.18E-06,1.27E-05,-1.36E-05,3.06E-10,4.81E-11
900,280,17574.6214,1.20E+08,0.02,0,1.16E-06,2.000000011,1.16E-06,2,1.30E-07,1.16E-06,1.25E-05,-1.34E-05,2.99E-10,4.81E-11
1.00E+03,280,17574.6214,1.20E+08,0.02,0,1.14E-06,1.999999997,1.14E-06,1.999999996,1.19E-07,1.14E-06,1.23E-05,-1.32E-05,2.92E-10,4.79E-11
2.00E+03,280,17574.6214,1.20E+08,0.02,0,1.11E-06,2.000000018,1.11E-06,1.999999974,6.58E-08,1.11E-06,1.30E-05,-1.40E-05,2.28E-10,4.08E-11
3.00E+03,280,17574.6214,1.20E+08,0.02,0,1.05E-06,2.00000003,1.05E-06,2.000000005,4.60E-08,1.05E-06,1.28E-05,-1.38E-05,1.85E-10,3.39E-11
6.3,290,38260.74697,1.20E+08,0.02,0,2.76E-06,1.999999849,2.76E-06,1.999999977,0.00404173,2.76E-06,1.35E-07,0.008080569,,
