CO2pressure,Ts,H2Oppm,Oescbefore,Oesc,depv,regulationtimescale
50,240,408.9794469,1.20E+08,2.40E+08,0.02,1.81E+12
60,240,408.9794652,1.20E+08,2.40E+08,0.02,2.69E+12
70,240,408.9794781,1.20E+08,2.40E+08,0.02,3.61E+12
80,240,408.9794883,1.20E+08,2.40E+08,0.02,4.42E+12
90,240,408.9794959,1.20E+08,2.40E+08,0.02,5.45E+12
100,240,408.9795024,1.20E+08,2.40E+08,0.02,6.29E+12
200,240,408.9795324,1.20E+08,2.40E+08,0.02,1.55E+13
300,240,408.9795431,1.20E+08,2.40E+08,0.02,2.56E+13
400,240,408.9795489,1.20E+08,2.40E+08,0.02,3.57E+13
500,240,408.9795529,1.20E+08,2.40E+08,0.02,4.46E+13
600,240,408.9795553,1.20E+08,2.40E+08,0.02,5.58E+13
700,240,408.9795575,1.20E+08,2.40E+08,0.02,6.49E+13
800,240,408.9795587,1.20E+08,2.40E+08,0.02,7.71E+13
900,240,408.97956,1.20E+08,2.40E+08,0.02,8.65E+13
1.00E+03,240,408.9795607,1.20E+08,2.40E+08,0.02,9.92E+13
2.00E+03,240,408.9795653,1.20E+08,2.40E+08,0.02,2.04E+14
3.00E+03,240,408.9795671,1.20E+08,2.40E+08,0.02,3.01E+14
6.3,250,1171.61799,1.20E+08,2.40E+08,0.02,2.29E+11
,,,,,,
10,250,1171.620588,1.20E+08,2.40E+08,0.02,4.26E+11
,,,,,,
20,250,1171.62297,1.20E+08,2.40E+08,0.02,9.41E+11
30,250,1171.623809,1.20E+08,2.40E+08,0.02,1.49E+12
40,250,1171.624242,1.20E+08,2.40E+08,0.02,2.06E+12
50,250,1171.624507,1.20E+08,2.40E+08,0.02,2.60E+12
60,250,1171.624687,1.20E+08,2.40E+08,0.02,3.34E+12
70,250,1171.624817,1.20E+08,2.40E+08,0.02,3.97E+12
80,250,1171.624915,1.20E+08,2.40E+08,0.02,4.82E+12
90,250,1171.624993,1.20E+08,2.40E+08,0.02,5.49E+12
100,250,1171.625055,1.20E+08,2.40E+08,0.02,6.39E+12
200,250,1171.625342,1.20E+08,2.40E+08,0.02,1.36E+13
300,250,1171.625443,1.20E+08,2.40E+08,0.02,1.92E+13
400,250,1171.625496,1.20E+08,2.40E+08,0.02,2.75E+13
500,250,1171.625528,1.20E+08,2.40E+08,0.02,3.60E+13
600,250,1171.625549,1.20E+08,2.40E+08,0.02,4.46E+13
700,250,1171.625566,1.20E+08,2.40E+08,0.02,5.12E+13
800,250,1171.625578,1.20E+08,2.40E+08,0.02,6.04E+13
900,250,1171.625588,1.20E+08,2.40E+08,0.02,6.68E+13
1.00E+03,250,1171.625595,1.20E+08,2.40E+08,0.02,7.60E+13
2.00E+03,250,1171.625632,1.20E+08,2.40E+08,0.02,1.50E+14
3.00E+03,250,1171.625645,1.20E+08,2.40E+08,0.02,2.19E+14
6.3,260,3095.987633,1.20E+08,2.40E+08,0.02,7.10E+11
,,,,,,
10,260,3096.009168,1.20E+08,2.40E+08,0.02,4.14E+11
,,,,,,
20,260,3096.02868,1.20E+08,2.40E+08,0.02,9.34E+11
30,260,3096.03552,1.20E+08,2.40E+08,0.02,1.43E+12
40,260,3096.039022,1.20E+08,2.40E+08,0.02,1.93E+12
50,260,3096.041154,1.20E+08,2.40E+08,0.02,2.49E+12
60,260,3096.042591,1.20E+08,2.40E+08,0.02,3.11E+12
70,260,3096.043629,1.20E+08,2.40E+08,0.02,3.62E+12
80,260,3096.044412,1.20E+08,2.40E+08,0.02,4.33E+12
90,260,3096.045027,1.20E+08,2.40E+08,0.02,4.89E+12
100,260,3096.045519,1.20E+08,2.40E+08,0.02,5.69E+12
200,260,3096.047785,1.20E+08,2.40E+08,0.02,1.24E+13
300,260,3096.048568,1.20E+08,2.40E+08,0.02,1.89E+13
400,260,3096.048968,1.20E+08,2.40E+08,0.02,2.60E+13
500,260,3096.049212,1.20E+08,2.40E+08,0.02,3.35E+13
600,260,3096.049377,1.20E+08,2.40E+08,0.02,4.12E+13
700,260,3096.049498,1.20E+08,2.40E+08,0.02,4.83E+13
800,260,3096.049588,1.20E+08,2.40E+08,0.02,5.58E+13
900,260,3096.049661,1.20E+08,2.40E+08,0.02,5.82E+13
1.00E+03,260,3096.04972,1.20E+08,2.40E+08,0.02,1.24E+14
2.00E+03,260,3096.049989,1.20E+08,2.40E+08,0.02,1.36E+14
3.00E+03,260,3096.050085,1.20E+08,2.40E+08,0.02,1.45E+14
6.3,270,7614.528919,1.20E+08,2.40E+08,0.02,1.14E+13
8,270,7614.627541,1.20E+08,2.40E+08,0.02,1.96E+12
10,270,7614.725854,1.20E+08,2.40E+08,0.02,4.07E+11
15,270,7614.806131,1.20E+08,2.40E+08,0.02,6.29E+11
20,270,7614.860085,1.20E+08,2.40E+08,0.02,8.95E+11
30,270,7614.915784,1.20E+08,2.40E+08,0.02,1.41E+12
40,270,7614.944416,1.20E+08,2.40E+08,0.02,1.93E+12
50,270,7614.961884,1.20E+08,2.40E+08,0.02,2.50E+12
60,270,7614.973665,1.20E+08,2.40E+08,0.02,3.11E+12
70,270,7614.982157,1.20E+08,2.40E+08,0.02,3.59E+12
80,270,7614.988564,1.20E+08,2.40E+08,0.02,4.27E+12
90,270,7614.993582,1.20E+08,2.40E+08,0.02,4.79E+12
100,270,7614.990859,1.20E+08,2.40E+08,0.02,5.53E+12
200,270,7615.01601,1.20E+08,2.40E+08,0.02,1.18E+13
300,270,7615.022306,1.20E+08,2.40E+08,0.02,1.81E+13
400,270,7615.0255,1.20E+08,2.40E+08,0.02,2.49E+13
500,270,7615.027436,1.20E+08,2.40E+08,0.02,3.20E+13
600,270,7615.028739,1.20E+08,2.40E+08,0.02,4.01E+13
700,270,7615.029721,1.20E+08,2.40E+08,0.02,4.63E+13
800,270,7615.03039,1.20E+08,2.40E+08,0.02,5.50E+13
900,270,7615.03095,1.20E+08,2.40E+08,0.02,6.08E+13
1.00E+03,270,7615.031401,1.20E+08,2.40E+08,0.02,6.68E+13
2.00E+03,270,7615.033463,1.20E+08,2.40E+08,0.02,1.50E+14
3.00E+03,270,7615.034182,1.20E+08,2.40E+08,0.02,2.22E+14
6.3,280,17564.66206,1.20E+08,2.40E+08,0.02,6.82E+13
8,280,17565.33476,1.20E+08,2.40E+08,0.02,4.40E+13
10,280,17565.85246,1.20E+08,2.40E+08,0.02,7.43E+12
15,280,17566.57434,1.20E+08,2.40E+08,0.02,5.18E+11
